Clusters	Supercluster	roi	regions	n_cells_cluster	n_cells_roi	n_cells_region
295	CGE interneuron	Human A44-A45	Frontal_cortex	101	35694	310434
295	CGE interneuron	Human V1C	Occipital_cortex	28	30599	112307
295	CGE interneuron	Human SI	BasalForebrain	26	33357	186315
295	CGE interneuron	Human A46	Frontal_cortex	84	27923	310434
295	CGE interneuron	Human HTHso	Hypothalamus	52	9535	110066
295	CGE interneuron	Human ITG	Temporal_cortex	102	26596	403268
295	CGE interneuron	Human M1C	Frontal_cortex	254	110246	310434
295	CGE interneuron	Human A40	Parietal_cortex	105	35993	143001
295	CGE interneuron	Human TF	Temporal_cortex	65	29403	403268
295	CGE interneuron	Human Idg	Temporal_cortex	96	36450	403268
295	CGE interneuron	Human A35-A36	Temporal_cortex	87	21708	403268
295	CGE interneuron	Human A29-A30	Limbic_cortex	86	31649	125352
295	CGE interneuron	Human A23	Limbic_cortex	66	32979	125352
295	CGE interneuron	Human A38	Temporal_cortex	100	34466	403268
295	CGE interneuron	Human A19	Occipital_cortex	67	26775	112307
295	CGE interneuron	Human AON	Paleocortex	49	29261	61436
295	CGE interneuron	Human CA1C-CA3C	Hippocampus	93	32432	237728
295	CGE interneuron	Human CA1R-CA2R-CA3R	Hippocampus	31	21695	237728
295	CGE interneuron	Human MoRF-MoEN	Medulla	1	13984	47114
295	CGE interneuron	Human MTG	Temporal_cortex	171	85093	403268
295	CGE interneuron	Human DGR-CA4Rpy	Hippocampus	20	16472	237728
295	CGE interneuron	Human La	Amygdala	122	24560	185429
295	CGE interneuron	Human A32	Frontal_cortex	63	22757	310434
295	CGE interneuron	Human CEN	Amygdala	177	30013	185429
295	CGE interneuron	Human HTHso-HTHtub	Hypothalamus	6	15499	110066
295	CGE interneuron	Human A13	Frontal_cortex	78	32634	310434
295	CGE interneuron	Human Sub	Hippocampus	65	27772	237728
295	CGE interneuron	Human A25	Frontal_cortex	85	35100	310434
295	CGE interneuron	Human CA3R	Hippocampus	5	4796	237728
295	CGE interneuron	Human A1C	Temporal_cortex	66	30175	403268
295	CGE interneuron	Human CoA	Amygdala	21	8288	185429
295	CGE interneuron	Human DGU-CA4Upy	Hippocampus	26	22000	237728
295	CGE interneuron	Human VLN	Thalamus	1	14486	212413
295	CGE interneuron	Human HTHpo-HTHso	Hypothalamus	7	18002	110066
295	CGE interneuron	Human A14	Frontal_cortex	26	13473	310434
295	CGE interneuron	Human CA4C-DGC	Hippocampus	53	36588	237728
295	CGE interneuron	Human STG	Temporal_cortex	58	27340	403268
295	CGE interneuron	Human HTHtub	Hypothalamus	12	10976	110066
295	CGE interneuron	Human S1C	Parietal_cortex	118	35453	143001
295	CGE interneuron	Human Pro	Occipital_cortex	60	25284	112307
295	CGE interneuron	Human DGR-CA4	Hippocampus	3	9164	237728
295	CGE interneuron	Human ANC	Thalamus	10	24985	212413
295	CGE interneuron	Human CA2U-CA3U	Hippocampus	9	11268	237728
295	CGE interneuron	Human LG	Thalamus	6	40223	212413
295	CGE interneuron	Human VA	Thalamus	4	4235	212413
295	CGE interneuron	Human LP	Thalamus	2	12519	212413
295	CGE interneuron	Human PTR	Midbrain	1	23580	127333
295	CGE interneuron	Human Pul	Thalamus	2	30449	212413
295	CGE interneuron	Human CA1-2R	Hippocampus	10	9696	237728
295	CGE interneuron	Human Pu	BasalForebrain	9	30723	186315
295	CGE interneuron	Human IO	Medulla	1	10446	47114
295	CGE interneuron	Human HTHma-HTHtub	Hypothalamus	1	16512	110066
295	CGE interneuron	Human SC	Midbrain	9	27156	127333
295	CGE interneuron	Human ETH	Thalamus	1	22261	212413
295	CGE interneuron	Human SN	Midbrain	4	8425	127333
295	CGE interneuron	Human HTHpo	Hypothalamus	1	13248	110066
295	CGE interneuron	Human CaB	BasalForebrain	2	29889	186315
295	CGE interneuron	Human MD	Thalamus	1	17500	212413
295	CGE interneuron	Human GPi	BasalForebrain	1	1511	186315
295	CGE interneuron	Human PAG-DR	Midbrain	1	10665	127333
296	CGE interneuron	Human A40	Parietal_cortex	248	35993	143001
296	CGE interneuron	Human A23	Limbic_cortex	212	32979	125352
296	CGE interneuron	Human S1C	Parietal_cortex	316	35453	143001
296	CGE interneuron	Human M1C	Frontal_cortex	772	110246	310434
296	CGE interneuron	Human A19	Occipital_cortex	161	26775	112307
296	CGE interneuron	Human CA1C-CA3C	Hippocampus	140	32432	237728
296	CGE interneuron	Human A1C	Temporal_cortex	193	30175	403268
296	CGE interneuron	Human Idg	Temporal_cortex	180	36450	403268
296	CGE interneuron	Human MEC	Temporal_cortex	589	46874	403268
296	CGE interneuron	Human V2	Occipital_cortex	173	29649	112307
296	CGE interneuron	Human A46	Frontal_cortex	162	27923	310434
296	CGE interneuron	Human ACC	Limbic_cortex	172	28494	125352
296	CGE interneuron	Human CA3R	Hippocampus	32	4796	237728
296	CGE interneuron	Human A13	Frontal_cortex	157	32634	310434
296	CGE interneuron	Human FI	Frontal_cortex	186	32607	310434
296	CGE interneuron	Human Pir	Paleocortex	113	32175	61436
296	CGE interneuron	Human A38	Temporal_cortex	185	34466	403268
296	CGE interneuron	Human CA2U-CA3U	Hippocampus	20	11268	237728
296	CGE interneuron	Human A44-A45	Frontal_cortex	230	35694	310434
296	CGE interneuron	Human STG	Temporal_cortex	153	27340	403268
296	CGE interneuron	Human MTG	Temporal_cortex	446	85093	403268
296	CGE interneuron	Human A5-A7	Parietal_cortex	188	32527	143001
296	CGE interneuron	Human Sub	Hippocampus	164	27772	237728
296	CGE interneuron	Human A43	Parietal_cortex	219	39028	143001
296	CGE interneuron	Human A29-A30	Limbic_cortex	302	31649	125352
296	CGE interneuron	Human ITG	Temporal_cortex	179	26596	403268
296	CGE interneuron	Human CA4C-DGC	Hippocampus	85	36588	237728
296	CGE interneuron	Human CEN	Amygdala	190	30013	185429
296	CGE interneuron	Human Ig	Temporal_cortex	166	35308	403268
296	CGE interneuron	Human BL	Amygdala	273	30681	185429
296	CGE interneuron	Human CoA	Amygdala	27	8288	185429
296	CGE interneuron	Human A35-A36	Temporal_cortex	91	21708	403268
296	CGE interneuron	Human V1C	Occipital_cortex	100	30599	112307
296	CGE interneuron	Human A32	Frontal_cortex	141	22757	310434
296	CGE interneuron	Human CA1R-CA2R-CA3R	Hippocampus	70	21695	237728
296	CGE interneuron	Human A25	Frontal_cortex	159	35100	310434
296	CGE interneuron	Human AON	Paleocortex	74	29261	61436
296	CGE interneuron	Human HTHpo-HTHso	Hypothalamus	18	18002	110066
296	CGE interneuron	Human LP	Thalamus	32	12519	212413
296	CGE interneuron	Human CA1	Hippocampus	15	14677	237728
296	CGE interneuron	Human SI	BasalForebrain	46	33357	186315
296	CGE interneuron	Human CMN	Amygdala	130	34358	185429
296	CGE interneuron	Human CA1U-CA2U-CA3U	Hippocampus	204	31168	237728
296	CGE interneuron	Human BM	Amygdala	128	26270	185429
296	CGE interneuron	Human Pro	Occipital_cortex	114	25284	112307
296	CGE interneuron	Human TH-TL	Limbic_cortex	181	32230	125352
296	CGE interneuron	Human TF	Temporal_cortex	161	29403	403268
296	CGE interneuron	Human VA	Thalamus	14	4235	212413
296	CGE interneuron	Human SN	Midbrain	9	8425	127333
296	CGE interneuron	Human Pu	BasalForebrain	19	30723	186315
296	CGE interneuron	Human La	Amygdala	219	24560	185429
296	CGE interneuron	Human Cla	BasalForebrain	280	27853	186315
296	CGE interneuron	Human LG	Thalamus	42	40223	212413
296	CGE interneuron	Human LEC	Temporal_cortex	175	29852	403268
296	CGE interneuron	Human Pul	Thalamus	25	30449	212413
296	CGE interneuron	Human SEP	BasalForebrain	42	20447	186315
296	CGE interneuron	Human VPL	Thalamus	5	2309	212413
296	CGE interneuron	Human SC	Midbrain	25	27156	127333
296	CGE interneuron	Human ANC	Thalamus	21	24985	212413
296	CGE interneuron	Human CA1-2R	Hippocampus	40	9696	237728
296	CGE interneuron	Human BNST	Amygdala	31	31259	185429
296	CGE interneuron	Human VLN	Thalamus	10	14486	212413
296	CGE interneuron	Human A14	Frontal_cortex	47	13473	310434
296	CGE interneuron	Human DGR-CA4	Hippocampus	21	9164	237728
296	CGE interneuron	Human DGU-CA4Upy	Hippocampus	33	22000	237728
296	CGE interneuron	Human CM	Thalamus	2	5997	212413
296	CGE interneuron	Human HTHso	Hypothalamus	54	9535	110066
296	CGE interneuron	Human DGR-CA4Rpy	Hippocampus	31	16472	237728
296	CGE interneuron	Human HTHtub	Hypothalamus	6	10976	110066
296	CGE interneuron	Human HTHso-HTHtub	Hypothalamus	9	15499	110066
296	CGE interneuron	Human GPi	BasalForebrain	2	1511	186315
296	CGE interneuron	Human MG	Thalamus	6	10529	212413
296	CGE interneuron	Human NAC	BasalForebrain	3	27406	186315
296	CGE interneuron	Human HTHma-HTHtub	Hypothalamus	2	16512	110066
296	CGE interneuron	Human MD	Thalamus	6	17500	212413
296	CGE interneuron	Human STH	Thalamus	1	557	212413
296	CGE interneuron	Human MoSR	Medulla	1	7147	47114
296	CGE interneuron	Human CaB	BasalForebrain	9	29889	186315
296	CGE interneuron	Human CM-Pf	Thalamus	3	15984	212413
296	CGE interneuron	Human LP-VPL	Thalamus	3	1461	212413
296	CGE interneuron	Human HTHpo	Hypothalamus	15	13248	110066
296	CGE interneuron	Human MN	Hypothalamus	3	17272	110066
296	CGE interneuron	Human PTR	Midbrain	1	23580	127333
296	CGE interneuron	Human MoAN	Medulla	1	15537	47114
296	CGE interneuron	Human SN-RN	Midbrain	2	11252	127333
296	CGE interneuron	Human HTHma	Hypothalamus	1	9022	110066
296	CGE interneuron	Human GPe	BasalForebrain	3	15129	186315
296	CGE interneuron	Human RN	Midbrain	1	1731	127333
296	CGE interneuron	Human PAG-DR	Midbrain	3	10665	127333
296	CGE interneuron	Human ETH	Thalamus	1	22261	212413
297	Upper rhombic lip	Human SC	Midbrain	25	27156	127333
297	Upper rhombic lip	Human ETH	Thalamus	1	22261	212413
297	Upper rhombic lip	Human SN	Midbrain	7	8425	127333
297	Upper rhombic lip	Human PAG	Midbrain	1	16546	127333
298	Cerebellar inhibitory	Human PnEN	Pons	86	25136	106554
298	Cerebellar inhibitory	Human PnAN	Pons	58	13666	106554
298	Cerebellar inhibitory	Human PB	Pons	68	15507	106554
298	Cerebellar inhibitory	Human CBV	Cerebellum	15	54680	102634
298	Cerebellar inhibitory	Human IO	Medulla	3	10446	47114
298	Cerebellar inhibitory	Human DTg	Pons	36	17996	106554
298	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	3	13984	47114
298	Cerebellar inhibitory	Human CBL	Cerebellum	9	24799	102634
298	Cerebellar inhibitory	Human CbDN	Cerebellum	11	23155	102634
298	Cerebellar inhibitory	Human MoAN	Medulla	5	15537	47114
298	Cerebellar inhibitory	Human PnRF	Pons	12	16035	106554
298	Cerebellar inhibitory	Human MoSR	Medulla	2	7147	47114
298	Cerebellar inhibitory	Human M1C	Frontal_cortex	1	110246	310434
298	Cerebellar inhibitory	Human PN	Pons	3	18214	106554
298	Cerebellar inhibitory	Human IC	Midbrain	6	27978	127333
299	Cerebellar inhibitory	Human CbDN	Cerebellum	362	23155	102634
299	Cerebellar inhibitory	Human PB	Pons	37	15507	106554
299	Cerebellar inhibitory	Human IC	Midbrain	13	27978	127333
299	Cerebellar inhibitory	Human DTg	Pons	3	17996	106554
299	Cerebellar inhibitory	Human SC	Midbrain	11	27156	127333
299	Cerebellar inhibitory	Human CBV	Cerebellum	26	54680	102634
299	Cerebellar inhibitory	Human PnAN	Pons	12	13666	106554
299	Cerebellar inhibitory	Human PnEN	Pons	40	25136	106554
299	Cerebellar inhibitory	Human M1C	Frontal_cortex	6	110246	310434
299	Cerebellar inhibitory	Human PN	Pons	4	18214	106554
299	Cerebellar inhibitory	Human MoAN	Medulla	8	15537	47114
299	Cerebellar inhibitory	Human IO	Medulla	5	10446	47114
299	Cerebellar inhibitory	Human PnRF	Pons	18	16035	106554
299	Cerebellar inhibitory	Human CBL	Cerebellum	10	24799	102634
299	Cerebellar inhibitory	Human MoSR	Medulla	3	7147	47114
299	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	1	13984	47114
299	Cerebellar inhibitory	Human PAG	Midbrain	1	16546	127333
300	Cerebellar inhibitory	Human CbDN	Cerebellum	703	23155	102634
300	Cerebellar inhibitory	Human PnRF	Pons	97	16035	106554
300	Cerebellar inhibitory	Human DTg	Pons	31	17996	106554
300	Cerebellar inhibitory	Human PnEN	Pons	148	25136	106554
300	Cerebellar inhibitory	Human PB	Pons	53	15507	106554
300	Cerebellar inhibitory	Human PN	Pons	48	18214	106554
300	Cerebellar inhibitory	Human IC	Midbrain	13	27978	127333
300	Cerebellar inhibitory	Human CBV	Cerebellum	24	54680	102634
300	Cerebellar inhibitory	Human SC	Midbrain	21	27156	127333
300	Cerebellar inhibitory	Human IO	Medulla	3	10446	47114
300	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	3	13984	47114
300	Cerebellar inhibitory	Human PnAN	Pons	16	13666	106554
300	Cerebellar inhibitory	Human PAG-DR	Midbrain	2	10665	127333
300	Cerebellar inhibitory	Human LG	Thalamus	3	40223	212413
300	Cerebellar inhibitory	Human MoAN	Medulla	13	15537	47114
300	Cerebellar inhibitory	Human MoSR	Medulla	6	7147	47114
300	Cerebellar inhibitory	Human CBL	Cerebellum	6	24799	102634
300	Cerebellar inhibitory	Human SN	Midbrain	1	8425	127333
300	Cerebellar inhibitory	Human ETH	Thalamus	1	22261	212413
300	Cerebellar inhibitory	Human MN	Hypothalamus	1	17272	110066
300	Cerebellar inhibitory	Human PTR	Midbrain	1	23580	127333
301	Cerebellar inhibitory	Human PnEN	Pons	51	25136	106554
301	Cerebellar inhibitory	Human DTg	Pons	23	17996	106554
301	Cerebellar inhibitory	Human PnAN	Pons	36	13666	106554
301	Cerebellar inhibitory	Human MoAN	Medulla	6	15537	47114
301	Cerebellar inhibitory	Human PB	Pons	13	15507	106554
301	Cerebellar inhibitory	Human PnRF	Pons	3	16035	106554
301	Cerebellar inhibitory	Human M1C	Frontal_cortex	1	110246	310434
301	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	3	13984	47114
302	Cerebellar inhibitory	Human CBV	Cerebellum	105	54680	102634
302	Cerebellar inhibitory	Human PnAN	Pons	16	13666	106554
302	Cerebellar inhibitory	Human MoAN	Medulla	16	15537	47114
302	Cerebellar inhibitory	Human CBL	Cerebellum	32	24799	102634
302	Cerebellar inhibitory	Human IC	Midbrain	12	27978	127333
302	Cerebellar inhibitory	Human PN	Pons	5	18214	106554
302	Cerebellar inhibitory	Human IO	Medulla	19	10446	47114
302	Cerebellar inhibitory	Human DTg	Pons	3	17996	106554
302	Cerebellar inhibitory	Human CbDN	Cerebellum	12	23155	102634
302	Cerebellar inhibitory	Human PnRF	Pons	2	16035	106554
302	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	3	13984	47114
302	Cerebellar inhibitory	Human PB	Pons	5	15507	106554
302	Cerebellar inhibitory	Human PAG-DR	Midbrain	1	10665	127333
302	Cerebellar inhibitory	Human PnEN	Pons	7	25136	106554
302	Cerebellar inhibitory	Human PTR	Midbrain	1	23580	127333
302	Cerebellar inhibitory	Human MoSR	Medulla	9	7147	47114
303	Cerebellar inhibitory	Human CBV	Cerebellum	1343	54680	102634
303	Cerebellar inhibitory	Human CBL	Cerebellum	50	24799	102634
303	Cerebellar inhibitory	Human IC	Midbrain	6	27978	127333
303	Cerebellar inhibitory	Human MoAN	Medulla	10	15537	47114
303	Cerebellar inhibitory	Human PnRF	Pons	2	16035	106554
303	Cerebellar inhibitory	Human MoSR	Medulla	3	7147	47114
303	Cerebellar inhibitory	Human PnAN	Pons	9	13666	106554
303	Cerebellar inhibitory	Human MN	Hypothalamus	1	17272	110066
303	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	2	13984	47114
303	Cerebellar inhibitory	Human PnEN	Pons	10	25136	106554
303	Cerebellar inhibitory	Human SpC	SpinalCord	1	5819	5819
303	Cerebellar inhibitory	Human SC	Midbrain	1	27156	127333
303	Cerebellar inhibitory	Human TH-TL	Limbic_cortex	1	32230	125352
304	Cerebellar inhibitory	Human CBV	Cerebellum	627	54680	102634
304	Cerebellar inhibitory	Human CBL	Cerebellum	60	24799	102634
304	Cerebellar inhibitory	Human PnAN	Pons	10	13666	106554
304	Cerebellar inhibitory	Human IO	Medulla	5	10446	47114
304	Cerebellar inhibitory	Human MoAN	Medulla	6	15537	47114
304	Cerebellar inhibitory	Human PnEN	Pons	4	25136	106554
304	Cerebellar inhibitory	Human MoSR	Medulla	2	7147	47114
304	Cerebellar inhibitory	Human DTg	Pons	1	17996	106554
304	Cerebellar inhibitory	Human IC	Midbrain	1	27978	127333
304	Cerebellar inhibitory	Human PnRF	Pons	2	16035	106554
304	Cerebellar inhibitory	Human HTHpo-HTHso	Hypothalamus	1	18002	110066
305	Cerebellar inhibitory	Human CBV	Cerebellum	151	54680	102634
305	Cerebellar inhibitory	Human PnEN	Pons	5	25136	106554
305	Cerebellar inhibitory	Human CBL	Cerebellum	15	24799	102634
305	Cerebellar inhibitory	Human IC	Midbrain	7	27978	127333
305	Cerebellar inhibitory	Human DTg	Pons	1	17996	106554
305	Cerebellar inhibitory	Human MoSR	Medulla	4	7147	47114
305	Cerebellar inhibitory	Human SI	BasalForebrain	1	33357	186315
305	Cerebellar inhibitory	Human PnRF	Pons	1	16035	106554
305	Cerebellar inhibitory	Human CbDN	Cerebellum	2	23155	102634
305	Cerebellar inhibitory	Human PnAN	Pons	2	13666	106554
305	Cerebellar inhibitory	Human SpC	SpinalCord	1	5819	5819
305	Cerebellar inhibitory	Human IO	Medulla	1	10446	47114
306	Cerebellar inhibitory	Human MoSR	Medulla	60	7147	47114
306	Cerebellar inhibitory	Human CBV	Cerebellum	5547	54680	102634
306	Cerebellar inhibitory	Human PnEN	Pons	101	25136	106554
306	Cerebellar inhibitory	Human CBL	Cerebellum	475	24799	102634
306	Cerebellar inhibitory	Human DTg	Pons	19	17996	106554
306	Cerebellar inhibitory	Human IC	Midbrain	80	27978	127333
306	Cerebellar inhibitory	Human PB	Pons	16	15507	106554
306	Cerebellar inhibitory	Human PnAN	Pons	72	13666	106554
306	Cerebellar inhibitory	Human CbDN	Cerebellum	13	23155	102634
306	Cerebellar inhibitory	Human SpC	SpinalCord	16	5819	5819
306	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	12	13984	47114
306	Cerebellar inhibitory	Human MoAN	Medulla	85	15537	47114
306	Cerebellar inhibitory	Human PnRF	Pons	13	16035	106554
306	Cerebellar inhibitory	Human IO	Medulla	63	10446	47114
306	Cerebellar inhibitory	Human PN	Pons	4	18214	106554
306	Cerebellar inhibitory	Human MN	Hypothalamus	3	17272	110066
306	Cerebellar inhibitory	Human PAG-DR	Midbrain	1	10665	127333
306	Cerebellar inhibitory	Human SN-RN	Midbrain	2	11252	127333
306	Cerebellar inhibitory	Human SEP	BasalForebrain	1	20447	186315
306	Cerebellar inhibitory	Human TH-TL	Limbic_cortex	1	32230	125352
306	Cerebellar inhibitory	Human GPe	BasalForebrain	1	15129	186315
306	Cerebellar inhibitory	Human RN	Midbrain	1	1731	127333
307	Cerebellar inhibitory	Human IC	Midbrain	138	27978	127333
307	Cerebellar inhibitory	Human PnRF	Pons	24	16035	106554
307	Cerebellar inhibitory	Human CBV	Cerebellum	1778	54680	102634
307	Cerebellar inhibitory	Human CBL	Cerebellum	303	24799	102634
307	Cerebellar inhibitory	Human MoAN	Medulla	145	15537	47114
307	Cerebellar inhibitory	Human PnAN	Pons	86	13666	106554
307	Cerebellar inhibitory	Human MoSR	Medulla	114	7147	47114
307	Cerebellar inhibitory	Human IO	Medulla	94	10446	47114
307	Cerebellar inhibitory	Human SpC	SpinalCord	26	5819	5819
307	Cerebellar inhibitory	Human CbDN	Cerebellum	41	23155	102634
307	Cerebellar inhibitory	Human PnEN	Pons	171	25136	106554
307	Cerebellar inhibitory	Human PB	Pons	37	15507	106554
307	Cerebellar inhibitory	Human DTg	Pons	30	17996	106554
307	Cerebellar inhibitory	Human MoRF-MoEN	Medulla	11	13984	47114
307	Cerebellar inhibitory	Human GPe	BasalForebrain	1	15129	186315
307	Cerebellar inhibitory	Human PN	Pons	5	18214	106554
307	Cerebellar inhibitory	Human BNST	Amygdala	1	31259	185429
307	Cerebellar inhibitory	Human V2	Occipital_cortex	1	29649	112307
307	Cerebellar inhibitory	Human SN	Midbrain	1	8425	127333
307	Cerebellar inhibitory	Human MD	Thalamus	1	17500	212413
307	Cerebellar inhibitory	Human HTHma	Hypothalamus	1	9022	110066
307	Cerebellar inhibitory	Human PTR	Midbrain	2	23580	127333
307	Cerebellar inhibitory	Human SC	Midbrain	1	27156	127333
307	Cerebellar inhibitory	Human MN	Hypothalamus	6	17272	110066
307	Cerebellar inhibitory	Human PAG-DR	Midbrain	2	10665	127333
308	Upper rhombic lip	Human CBV	Cerebellum	716	54680	102634
308	Upper rhombic lip	Human CBL	Cerebellum	53	24799	102634
308	Upper rhombic lip	Human PnAN	Pons	63	13666	106554
308	Upper rhombic lip	Human PnEN	Pons	22	25136	106554
308	Upper rhombic lip	Human IO	Medulla	5	10446	47114
308	Upper rhombic lip	Human CbDN	Cerebellum	8	23155	102634
308	Upper rhombic lip	Human PnRF	Pons	3	16035	106554
308	Upper rhombic lip	Human SN-RN	Midbrain	1	11252	127333
308	Upper rhombic lip	Human LG	Thalamus	1	40223	212413
308	Upper rhombic lip	Human MG	Thalamus	1	10529	212413
308	Upper rhombic lip	Human PAG	Midbrain	2	16546	127333
308	Upper rhombic lip	Human MTG	Temporal_cortex	1	85093	403268
308	Upper rhombic lip	Human PB	Pons	3	15507	106554
308	Upper rhombic lip	Human MoAN	Medulla	10	15537	47114
308	Upper rhombic lip	Human DTg	Pons	2	17996	106554
308	Upper rhombic lip	Human M1C	Frontal_cortex	9	110246	310434
308	Upper rhombic lip	Human MoRF-MoEN	Medulla	1	13984	47114
308	Upper rhombic lip	Human MoSR	Medulla	17	7147	47114
308	Upper rhombic lip	Human IC	Midbrain	1	27978	127333
308	Upper rhombic lip	Human PN	Pons	1	18214	106554
309	Upper rhombic lip	Human PnAN	Pons	105	13666	106554
309	Upper rhombic lip	Human PnEN	Pons	141	25136	106554
309	Upper rhombic lip	Human PB	Pons	46	15507	106554
309	Upper rhombic lip	Human CbDN	Cerebellum	32	23155	102634
309	Upper rhombic lip	Human DTg	Pons	35	17996	106554
309	Upper rhombic lip	Human MoSR	Medulla	5	7147	47114
309	Upper rhombic lip	Human PnRF	Pons	1	16035	106554
309	Upper rhombic lip	Human SN	Midbrain	3	8425	127333
309	Upper rhombic lip	Human PN	Pons	4	18214	106554
309	Upper rhombic lip	Human MoAN	Medulla	1	15537	47114
310	Upper rhombic lip	Human MoSR	Medulla	393	7147	47114
310	Upper rhombic lip	Human PnAN	Pons	6586	13666	106554
310	Upper rhombic lip	Human CbDN	Cerebellum	4391	23155	102634
310	Upper rhombic lip	Human CBV	Cerebellum	11618	54680	102634
310	Upper rhombic lip	Human MoAN	Medulla	1364	15537	47114
310	Upper rhombic lip	Human PTR	Midbrain	33	23580	127333
310	Upper rhombic lip	Human IO	Medulla	2717	10446	47114
310	Upper rhombic lip	Human PnEN	Pons	768	25136	106554
310	Upper rhombic lip	Human ETH	Thalamus	5	22261	212413
310	Upper rhombic lip	Human IC	Midbrain	1668	27978	127333
310	Upper rhombic lip	Human PB	Pons	737	15507	106554
310	Upper rhombic lip	Human DTg	Pons	140	17996	106554
310	Upper rhombic lip	Human MoRF-MoEN	Medulla	563	13984	47114
310	Upper rhombic lip	Human CBL	Cerebellum	1505	24799	102634
310	Upper rhombic lip	Human PnRF	Pons	422	16035	106554
310	Upper rhombic lip	Human SC	Midbrain	25	27156	127333
310	Upper rhombic lip	Human SpC	SpinalCord	82	5819	5819
310	Upper rhombic lip	Human PN	Pons	98	18214	106554
310	Upper rhombic lip	Human M1C	Frontal_cortex	85	110246	310434
310	Upper rhombic lip	Human MG	Thalamus	12	10529	212413
310	Upper rhombic lip	Human LG	Thalamus	9	40223	212413
310	Upper rhombic lip	Human TH-TL	Limbic_cortex	2	32230	125352
310	Upper rhombic lip	Human MN	Hypothalamus	50	17272	110066
310	Upper rhombic lip	Human PAG-DR	Midbrain	78	10665	127333
310	Upper rhombic lip	Human PAG	Midbrain	8	16546	127333
310	Upper rhombic lip	Human CMN	Amygdala	2	34358	185429
310	Upper rhombic lip	Human ANC	Thalamus	3	24985	212413
310	Upper rhombic lip	Human Pul	Thalamus	2	30449	212413
310	Upper rhombic lip	Human CM-Pf	Thalamus	3	15984	212413
310	Upper rhombic lip	Human GPe	BasalForebrain	11	15129	186315
310	Upper rhombic lip	Human SN	Midbrain	2	8425	127333
310	Upper rhombic lip	Human CA1R-CA2R-CA3R	Hippocampus	1	21695	237728
310	Upper rhombic lip	Human SEP	BasalForebrain	1	20447	186315
310	Upper rhombic lip	Human HTHpo-HTHso	Hypothalamus	1	18002	110066
310	Upper rhombic lip	Human MD	Thalamus	2	17500	212413
310	Upper rhombic lip	Human VLN	Thalamus	1	14486	212413
310	Upper rhombic lip	Human HTHma	Hypothalamus	6	9022	110066
310	Upper rhombic lip	Human SN-RN	Midbrain	5	11252	127333
310	Upper rhombic lip	Human CA1C-CA3C	Hippocampus	2	32432	237728
310	Upper rhombic lip	Human CA4C-DGC	Hippocampus	1	36588	237728
310	Upper rhombic lip	Human LEC	Temporal_cortex	2	29852	403268
310	Upper rhombic lip	Human BL	Amygdala	1	30681	185429
311	Upper rhombic lip	Human CBV	Cerebellum	32663	54680	102634
311	Upper rhombic lip	Human PnRF	Pons	785	16035	106554
311	Upper rhombic lip	Human CbDN	Cerebellum	15658	23155	102634
311	Upper rhombic lip	Human CBL	Cerebellum	22272	24799	102634
311	Upper rhombic lip	Human PnAN	Pons	3569	13666	106554
311	Upper rhombic lip	Human IO	Medulla	5548	10446	47114
311	Upper rhombic lip	Human SpC	SpinalCord	776	5819	5819
311	Upper rhombic lip	Human MoSR	Medulla	208	7147	47114
311	Upper rhombic lip	Human MoRF-MoEN	Medulla	3069	13984	47114
311	Upper rhombic lip	Human MoAN	Medulla	1146	15537	47114
311	Upper rhombic lip	Human IC	Midbrain	7162	27978	127333
311	Upper rhombic lip	Human PAG-DR	Midbrain	112	10665	127333
311	Upper rhombic lip	Human PnEN	Pons	921	25136	106554
311	Upper rhombic lip	Human PB	Pons	2257	15507	106554
311	Upper rhombic lip	Human Pul	Thalamus	8	30449	212413
311	Upper rhombic lip	Human PN	Pons	310	18214	106554
311	Upper rhombic lip	Human TF	Temporal_cortex	8	29403	403268
311	Upper rhombic lip	Human MN	Hypothalamus	29	17272	110066
311	Upper rhombic lip	Human LG	Thalamus	53	40223	212413
311	Upper rhombic lip	Human SC	Midbrain	36	27156	127333
311	Upper rhombic lip	Human DTg	Pons	144	17996	106554
311	Upper rhombic lip	Human GPe	BasalForebrain	129	15129	186315
311	Upper rhombic lip	Human CEN	Amygdala	9	30013	185429
311	Upper rhombic lip	Human MG	Thalamus	11	10529	212413
311	Upper rhombic lip	Human BL	Amygdala	3	30681	185429
311	Upper rhombic lip	Human BNST	Amygdala	1	31259	185429
311	Upper rhombic lip	Human PTR	Midbrain	25	23580	127333
311	Upper rhombic lip	Human CA4C-DGC	Hippocampus	7	36588	237728
311	Upper rhombic lip	Human SN-RN	Midbrain	36	11252	127333
311	Upper rhombic lip	Human CMN	Amygdala	7	34358	185429
311	Upper rhombic lip	Human SI	BasalForebrain	2	33357	186315
311	Upper rhombic lip	Human PAG	Midbrain	7	16546	127333
311	Upper rhombic lip	Human TH-TL	Limbic_cortex	2	32230	125352
311	Upper rhombic lip	Human HTHpo-HTHso	Hypothalamus	7	18002	110066
